Name,URL,Remote Testing,Adaptive/IRT,Test Types,Job Level,Completion Time,Languages,Description,context
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Competencies","Front Line Manager, Manager,",Approximate Completion Time in minutes = 53,"English (USA), English International,","Our Manager + 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA).","passage: Manager + 7.0 Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Competencies | Job Level: Front Line Manager, Manager, | Completion Time: Approximate Completion Time in minutes = 53 | Languages: English (USA), English International, | Description: Our Manager + 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA)."
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,Yes Remote Testing,Yes IRT,"Biodata and situational Judgement, Competencies, Personalities and behavior","Director, Executive, Front Line Manager, Manager,",Approximate Completion Time in minutes = 63,"English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada),","Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French. “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".","passage: Manager + 7.1 (Americas) | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Biodata and situational Judgement, Competencies, Personalities and behavior | Job Level: Director, Executive, Front Line Manager, Manager, | Completion Time: Approximate Completion Time in minutes = 63 | Languages: English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada), | Description: Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French. “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International""."
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,Yes Remote Testing,Yes IRT,"Biodata and situational Judgement, Competencies, Personalities and behavior","Director, Executive, Front Line Manager, Manager,",Approximate Completion Time in minutes = 63,"French (Canada), Dutch, Finnish, Norwegian, Swedish, Portuguese (Brazil), Danish, English (USA), Italian,","Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French, Brazilian Portuguese, Danish, Dutch, Finnish, Italian, Norwegian, Swedish. “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".","passage: Manager + 7.1 (International) | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Biodata and situational Judgement, Competencies, Personalities and behavior | Job Level: Director, Executive, Front Line Manager, Manager, | Completion Time: Approximate Completion Time in minutes = 63 | Languages: French (Canada), Dutch, Finnish, Norwegian, Swedish, Portuguese (Brazil), Danish, English (USA), Italian, | Description: Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French, Brazilian Portuguese, Danish, Dutch, Finnish, Italian, Norwegian, Swedish. “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International""."
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Competencies","Manager, Front Line Manager,",Approximate Completion Time in minutes = 35,"French (Canada), Latin American Spanish, English International, English (USA),","Our Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Latin American Spanish.","passage: Manager 7.0 Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Competencies | Job Level: Manager, Front Line Manager, | Completion Time: Approximate Completion Time in minutes = 35 | Languages: French (Canada), Latin American Spanish, English International, English (USA), | Description: Our Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Latin American Spanish."
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Competencies, Personalities and behavior","Executive, Director, Front Line Manager, Manager,",Approximate Completion Time in minutes = 40,"Portuguese (Brazil), French (Canada),","Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International"".","passage: Manager 7.1 (Americas) | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Competencies, Personalities and behavior | Job Level: Executive, Director, Front Line Manager, Manager, | Completion Time: Approximate Completion Time in minutes = 40 | Languages: Portuguese (Brazil), French (Canada), | Description: Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International""."
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Competencies, Personalities and behavior","Director, Executive, Front Line Manager, Manager,",Approximate Completion Time in minutes = 40,"English (USA), English International, French, German, Portuguese (Brazil), Danish, Finnish, Italian, Norwegian, Swedish, Dutch, French (Canada),","Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International"".","passage: Manager 7.1 (International) | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Competencies, Personalities and behavior | Job Level: Director, Executive, Front Line Manager, Manager, | Completion Time: Approximate Completion Time in minutes = 40 | Languages: English (USA), English International, French, German, Portuguese (Brazil), Danish, Finnish, Italian, Norwegian, Swedish, Dutch, French (Canada), | Description: Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.Report Language Availability: English (USA), Danish, Finnish, Canadian French, Italian, Norwegian, French, German, English International,.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International""."
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior","Manager,",Approximate Completion Time in minutes = 26,"English (USA), English International,",The Manager 8.0 Job-Focused Assessment is designed for candidates applying to their first leadership positions. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area.,"passage: Manager 8.0 JFA | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior | Job Level: Manager, | Completion Time: Approximate Completion Time in minutes = 26 | Languages: English (USA), English International, | Description: The Manager 8.0 Job-Focused Assessment is designed for candidates applying to their first leadership positions. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area."
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior","Manager,",Approximate Completion Time in minutes = 44,"English (USA), English International,","The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Inductive Reasoning. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area.","passage: Manager 8.0+ JFA | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior | Job Level: Manager, | Completion Time: Approximate Completion Time in minutes = 44 | Languages: English (USA), English International, | Description: The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Inductive Reasoning. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area."
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement","Entry-Level,",Approximate Completion Time in minutes = 35,"English (USA),","The Manufacturing Production Team Member solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace for production workers. This solution measures a candidate’s error checking abilities and general tendency to behave safely and efficiently in the workplace. The solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and error checking. The Manufacturing Production Team Member solution is designed for selection to job titles, such as: Production Worker, Material Handler, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.","passage: Manufacturing Production Team Member | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 35 | Languages: English (USA), | Description: The Manufacturing Production Team Member solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace for production workers. This solution measures a candidate’s error checking abilities and general tendency to behave safely and efficiently in the workplace. The solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and error checking. The Manufacturing Production Team Member solution is designed for selection to job titles, such as: Production Worker, Material Handler, Driver, Forklift Operator, Crewman, Mechanic, and Receiver."
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement","Entry-Level,",Approximate Completion Time in minutes = 45,"English (USA),","The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. This solution measures a candidate’s mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. This solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. The Manufacturing Skilled Maintenance solution is designed for selection to job titles, such as: Industrial Machinery Mechanic, Automotive Service Technician, Small Engine Mechanic, Mobile Equipment Service Technician, and Diesel Service Technician.","passage: Manufacturing Skilled Maintenance Worker | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 45 | Languages: English (USA), | Description: The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. This solution measures a candidate’s mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. This solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. The Manufacturing Skilled Maintenance solution is designed for selection to job titles, such as: Industrial Machinery Mechanic, Automotive Service Technician, Small Engine Mechanic, Mobile Equipment Service Technician, and Diesel Service Technician."
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,Yes Remote Testing,Yes IRT,"Personalities and behavior, Simulations, Knowledge and Skills, Biodata and situational Judgement, Ability and aptitude","Professional Individual Contributor,",Approximate Completion Time in minutes = 41,"English (USA),","The Network Engineer/Analyst solution is designed for use with professional level telecommunications engineers and network analysts. The solution is focused on positions that involve the design and monitoring of complex telecommunications networks, and places an emphasis on reasoning ability, attention to detail, and multitasking. Sample tasks may include: designing networks or network elements, ensuring proper network operation and performance, and monitoring and troubleshooting electronic data and communication networks. Potential job titles that use this solution are: Network Engineer, Network Analyst, and Communications Engineer. There are multiple configurations of this solution available.","passage: Network Engineer/Analyst Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Personalities and behavior, Simulations, Knowledge and Skills, Biodata and situational Judgement, Ability and aptitude | Job Level: Professional Individual Contributor, | Completion Time: Approximate Completion Time in minutes = 41 | Languages: English (USA), | Description: The Network Engineer/Analyst solution is designed for use with professional level telecommunications engineers and network analysts. The solution is focused on positions that involve the design and monitoring of complex telecommunications networks, and places an emphasis on reasoning ability, attention to detail, and multitasking. Sample tasks may include: designing networks or network elements, ensuring proper network operation and performance, and monitoring and troubleshooting electronic data and communication networks. Potential job titles that use this solution are: Network Engineer, Network Analyst, and Communications Engineer. There are multiple configurations of this solution available."
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,Yes Remote Testing,Yes IRT,"Simulations, Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 59,"English (USA),","The Nurse Leader solution is an assessment used for job candidates applying to entry-level nurse leadership positions who tend to supervise hourly employees.  Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning nurses to specific duties; coaching nurses on attendance, conduct, schedule adherence, and work related tasks; developing nurses' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others in a healthcare setting. Potential job titles that use this solution are: Nurse Leader or Nurse Manager. There are multiple configurations and versions of this solution available.","passage: Nurse Leader Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Simulations, Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Front Line Manager, Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 59 | Languages: English (USA), | Description: The Nurse Leader solution is an assessment used for job candidates applying to entry-level nurse leadership positions who tend to supervise hourly employees.  Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning nurses to specific duties; coaching nurses on attendance, conduct, schedule adherence, and work related tasks; developing nurses' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others in a healthcare setting. Potential job titles that use this solution are: Nurse Leader or Nurse Manager. There are multiple configurations and versions of this solution available."
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,Yes Remote Testing,Yes IRT,"Personalities and behavior, Ability and aptitude, Biodata and situational Judgement","Professional Individual Contributor,",Approximate Completion Time in minutes = 66,"English (USA),","The Nurse solution is for professional-level healthcare nursing positions that require licensing or registration.  Sample tasks for these jobs include, but are not limited to: assessing the health conditions of patients, documenting patients' medical information, creating a nursing care plan, and educating patients' about healthcare issues.  Potential job titles that use this solution are: Registered Nurse, Charge Nurse, Licensed Practical Nurse, and Clinic Nurse.  Multiple configurations of this solution are available.","passage: Nurse Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Personalities and behavior, Ability and aptitude, Biodata and situational Judgement | Job Level: Professional Individual Contributor, | Completion Time: Approximate Completion Time in minutes = 66 | Languages: English (USA), | Description: The Nurse solution is for professional-level healthcare nursing positions that require licensing or registration.  Sample tasks for these jobs include, but are not limited to: assessing the health conditions of patients, documenting patients' medical information, creating a nursing care plan, and educating patients' about healthcare issues.  Potential job titles that use this solution are: Registered Nurse, Charge Nurse, Licensed Practical Nurse, and Clinic Nurse.  Multiple configurations of this solution are available."
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 41,"English (USA),","The Nursing Assistant solution is for entry-level positions in a clinic or hospital environment. Sample tasks for this job include, but are not limited to: turning and re-positioning bedridden patients, feeding patients who cannot feed themselves, and observing patients' conditions, including measuring and recording food intake.  Potential job titles that use this solution are: Certified Nursing Assistant, Nursing Aide, Patient Care Technician, and Hospital Attendant.  Multiple configurations of this solution are available.","passage: Nursing Assistant Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 41 | Languages: English (USA), | Description: The Nursing Assistant solution is for entry-level positions in a clinic or hospital environment. Sample tasks for this job include, but are not limited to: turning and re-positioning bedridden patients, feeding patients who cannot feed themselves, and observing patients' conditions, including measuring and recording food intake.  Potential job titles that use this solution are: Certified Nursing Assistant, Nursing Aide, Patient Care Technician, and Hospital Attendant.  Multiple configurations of this solution are available."
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior, Simulations","Entry-Level, Mid-Professional,",Approximate Completion Time in minutes = 30,"English (USA),","The Personal Banker – Loan Officer solution is for entry to mid-level financial institution positions. Sample tasks for this job would include, but are not limited to: acquiring, retaining and expanding new and existing customer relationships, discovering customer needs, making the best recommendation, completing sales, proactively contacting & meeting customers, and asking for referrals.","passage: Personal Banker - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior, Simulations | Job Level: Entry-Level, Mid-Professional, | Completion Time: Approximate Completion Time in minutes = 30 | Languages: English (USA), | Description: The Personal Banker – Loan Officer solution is for entry to mid-level financial institution positions. Sample tasks for this job would include, but are not limited to: acquiring, retaining and expanding new and existing customer relationships, discovering customer needs, making the best recommendation, completing sales, proactively contacting & meeting customers, and asking for referrals."
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level, Mid-Professional,",Approximate Completion Time in minutes = 40,"English (USA),","This solution is for entry to mid-level financial institution positions. Candidates are asked to answer multiple choice questions to assess learning potential, dependability, persistence and planfulness, sales focus, customer focus, and working with information.","passage: Phone Banker - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, Mid-Professional, | Completion Time: Approximate Completion Time in minutes = 40 | Languages: English (USA), | Description: This solution is for entry to mid-level financial institution positions. Candidates are asked to answer multiple choice questions to assess learning potential, dependability, persistence and planfulness, sales focus, customer focus, and working with information."
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 24,"English (USA),","The Prep/Line Cook solution is for entry-level food preparation positions in the hospitality industry. Sample tasks include preparing ingredients and final food items for consumption. The solution is focused on work ethic and performing quality work with no direct customer contact or sales requirements. Potential job titles that use this solution are: Cook, Line Cook, Food Preparer, Prep Cook and Chef. Multiple configurations of this solution are available.","passage: Prep/Line Cook Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 24 | Languages: English (USA), | Description: The Prep/Line Cook solution is for entry-level food preparation positions in the hospitality industry. Sample tasks include preparing ingredients and final food items for consumption. The solution is focused on work ethic and performing quality work with no direct customer contact or sales requirements. Potential job titles that use this solution are: Cook, Line Cook, Food Preparer, Prep Cook and Chef. Multiple configurations of this solution are available."
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Competencies","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 51,"English International, English (USA),","Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA).","passage: Professional + 7.0 Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Competencies | Job Level: Mid-Professional, Professional Individual Contributor, | Completion Time: Approximate Completion Time in minutes = 51 | Languages: English International, English (USA), | Description: Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA)."
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,Yes Remote Testing,Yes IRT,"Biodata and situational Judgement, Competencies, Personalities and behavior","General Population, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 56,"Latin American Spanish,","Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","passage: Professional + 7.1 (Americas) | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Biodata and situational Judgement, Competencies, Personalities and behavior | Job Level: General Population, Mid-Professional, Professional Individual Contributor, | Completion Time: Approximate Completion Time in minutes = 56 | Languages: Latin American Spanish, | Description: Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services."
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,Yes Remote Testing,Yes IRT,"Biodata and situational Judgement, Competencies, Personalities and behavior","General Population, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 56,"Chinese Traditional, Dutch, Chinese Simplified, French, English International, Swedish, Italian, Norwegian, Danish, English (USA), French (Canada), Portuguese (Brazil), Spanish, German, Portuguese, Finnish,","Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","passage: Professional + 7.1 (International) | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Biodata and situational Judgement, Competencies, Personalities and behavior | Job Level: General Population, Mid-Professional, Professional Individual Contributor, | Completion Time: Approximate Completion Time in minutes = 56 | Languages: Chinese Traditional, Dutch, Chinese Simplified, French, English International, Swedish, Italian, Norwegian, Danish, English (USA), French (Canada), Portuguese (Brazil), Spanish, German, Portuguese, Finnish, | Description: Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services."
